"标识","品牌","MPN码","规格","","插件位置","底数","数量","单位","承样状态","创建时间"
"303011382, SMD Inductor 1uH-20%-3.1A;L2.0*W1.6*H1.0mm, A.3 (Design)","Sunlord","WPN201610U1R0MTY01","","","L36 L37 L38 L39 L40 L43","1","6","PCS","无需承样","2020/03/12 14:51  CST"
"303011790, SMD Inductor;4.7uH-20%-1.5A-2.5*2.0*1.2mm, A.2 (Design)","CODACA","CSTB252012H-4R7M","","","L1","1","1","PCS","无需承样","2022/07/19 16:14  CST"
"303011791, SMD Inductor 2.2uH-20%-2A;L2.0*W1.6*H1.0mm, A.2 (Design)","CODACA","CSTB201610H-2R2M","","","L3","1","1","PCS","无需承样","2022/07/19 16:17  CST"
"303011792, SMD Inductor;0.16uH-20%-5A-2.5*2.0*1.0mm, A.2 (Design)","Sunlord","WPN252010UR16MT","","","L41 L42","1","2","PCS","无需承样","2022/07/19 16:28  CST"
"303030024, SMD Ferrite Bead;120R-2A;0603, A.4 (Design)","Murata","BLM18PG121SN1D","","","FB1 FB16","1","2","PCS","无需承样","2015/10/31 16:53  CST"
"303030040, SMD Ferrite Bead 120R-1.3A;0402, A.2 (Design)","Murata","BLM15PD121SN1D","","","FB2 FB3 FB13 FB15","1","4","PCS","无需承样","2015/11/13 16:49  CST"
"303030859, SMD Ferrite Bead 600R 250mA;0201, A.2 (Design)","Murata","BLM03AX601SN1B","","","FB5 FB6 FB7 FB8 FB9 FB10 FB11 FB12","1","8","PCS","无需承样","2022/07/19 16:04  CST"
"304020024, SMD Diode Schottky 30V-1A;DO-214AC, A.2 (Design)","Diodes","B130L-13-F","","","D24 D28","1","2","PCS","未承样","2015/10/31 15:45  CST"
"304020782, SMD Diode Schottky 30V-200mA;SOD-523, A.3 (Design)","ON","RB520S30T1G","","","D3 D9 D13 D32 D35 D38","1","6","PCS","无需承样","2020/04/01 17:24  CST"
"304050002, SMD Diode TVS 5V-600W;DO-214AA, A.2 (Design)","ST","SMBJ5.0CA-TR","","","D22","1","1","PCS","未承样","2015/10/31 16:52  CST"
"304050579, SMD Diode TVS 24VWM 29.5V;SMB, A.3 (Design)","Littelfuse","SMBJ24CA","","","D25","1","1","PCS","无需承样","2018/07/11 16:16  CST"
"304050798, SMD TVS DIODE 3.6V-6.4V-1pF;X1SON(2), A.3 (Design)","TI","TPD1E1B04DPYR","","","D14 D15 D16 D17 D18 D26 D27","1","7","PCS","无需承样","2020/01/10 11:05  CST"
"304060074, SMD Diode ESD 0.05pF;0402, A.3 (Design)","SEMITEL","ESDPSA0402V05","","","D6 D7 D8 D10 D11 D19 D20 D21 D36 D37","1","10","PCS","无需承样","2015/12/28 10:56  CST"
"304060294, SMD Diode Array ESD;4 Channel,6 Gbps,5.5V;USON-10, A.4 (Design)","TI","TPD4E05U06DQAR","Air=±15KV；Contact=±12KV","","D1 D2 D4 D5","1","4","PCS","无需承样","2020/05/14 18:47  CST"
"304060395, SMD Diode Array ESD;4 Channel,0.25pF,3.6V,10Gbps;USON-10, A.2 (Design)","TI","TPD4E02B04DQAR","Air=±15KV；Contact=±12KV","","D12","1","1","PCS","无需承样","2022/03/21 15:05  CST"
"304090043, SMD LED Clear-Green;LED-0603, C.2 (Design)","Everlight","19-217/G7C-AN1P2/6T","(正贴)","","LED6","1","1","PCS","无需承样","2015/10/31 16:52  CST"
"304090045, SMD LED Clear-Blue;0603, A.3 (Design)","Everlight","19-217/BHC-ZL1M2RY/6T","","","LED1 LED2 LED3 LED4 LED5","1","5","PCS","无需承样","2015/10/31 15:45  CST"
