SKU,Description,brand,MPN,specification,position,qty,底数,unit
301010677,SMD RES;4.7K-5%-1/20W;0201,YAGEO,RC0201JR-074K7L,,R19 R22 R23 R28 R29 R30 R41 R42 R43 R45 R46 R47 R48 R57 R58 R59 R60 R63 R64 R65 R66,21,1,PCS
301010675,SMD RES;33R-5%-1/20W;0201,YAGEO,RC0201JR-0733RL,,R5 R37 R53 R54 R55 R67 R68 R69 R70 R71 R72 R73 R75 R76 R77 R79 R83 R84 R85 R86 R88 R90 R150,23,1,PCS
301010676,SMD RES 1M-5%-1/20W;0201,YAGEO,RC0201JR-071ML,,R135 R138 R140 R142 R157 R159 R161 R163 R165 R167 R199 R206 R208 R210 R212 R214 R216 R218 R220 R222 R224 R226,22,1,PCS
301012651,SMD RES 47K-1%-1/20W;0201,Yageo,RC0201FR-0747KL,,R20 R151 R152 R153 R154,5,1,PCS
301011530,SMD RES 27R-1%-1/20W;0201,YAGEO,RC0201FR-0727RL,,R80 R81 R82 R89 R95 R96,6,1,PCS
301011318,SMD RES 240R-1%-1/20W;0201,YAGEO,RC0201FR-07240RL,,R3 R4 R8 R9,4,1,PCS
301013351,SMD RES 200R-1%-1/20W;0201,YAGEO,RC0201FR-07200RL,,R25 R751 R752 R753 R754,5,1,PCS
301010523,SMD RES 1K-±1%-1/20W;0201,YAGEO,RC0201FR-071KL,,R109 R110 R121 R123 R144 R185 R186 R187 R188 R189 R190 R191 R192 R193 R194 R195 R225 R232,18,1,PCS
301010817,SMD RES 1.62K-1%-1/20W;0201,YAGEO,RC0201FR-071K62L,,R94 R105 R114 R120 R755,5,1,PCS
301011323,SMD RES 120R-1%-1/20W;0201,YAGEO,RC0201FR-07120RL,,R11 R16 R35,3,1,PCS
301010526,SMD RES 10K-±1%-1/20W;0201,YAGEO,RC0201FR-0710KL,,R10 R15 R21 R40 R87 R91 R92 R93 R113 R117 R118 R129 R132 R133 R134 R137 R139 R141 R145 R146 R147 R148 R149 R158 R160 R162 R164 R166 R168 R169 R170 R171 R180 R203 R204 R205 R207 R209 R211 R213 R215 R217 R219 R221 R223,45,1,PCS
301010765,SMD RES 100K-±1%-1/20W;0201,YAGEO,RC0201FR-07100KL,,R44 R115 R119 R122 R172 R174 R181 R183 R184 R227 R673 R800 R810 R811 R813 R814 R815 R816,18,1,PCS
301010525,SMD RES 0R-±1%-1/20W;0201,YAGEO,RC0201FR-070RL,,R49 R52 R56 R61 R62 R74 R78 R106 R108 R156 R235 R236 R237 R238 R239 R240 R241,17,1,PCS
306050630,SMD Feed Through Capacitor(Filters);4.3uF-20%-DC 2.5V-2A-30mOhm;0402,Murata,NFM15PC435R0E3D,,C1115 C1116 C1117 C1118 C1133 C1134,6,1,PCS
306050631,SMD Feed Through Capacitor(Filters);22nF-20%-DC 10V-1A-40mOhm;0402,Murata,NFM15CC223C1A3D,,C1151,1,1,PCS
304011072,SMD Diode Schottky 30V-200mA;SOD-523,LRC,LRB520S-30T1G,,D3 D9 D13 D32 D35 D38,6,1,PCS
320140517,"DIP RJ45;1000M,Integrated Magnetics,G/O/Y 3 LEDs,Right Angle;16P-21.25*15.93*13.3mm",LINK-PP,LPJG0933H11NL,,J14,1,1,PCS
302013119,SMD CAP Ceramic 1uF-4V-20%-X7T;0204,Murata,LLL152D70G105ME01D,,C1122 C1123 C1124 C1125 C1127 C1128,6,1,PCS
310091405,SMD IC Memory;LPDDR4X 2GB(16bits x 2 channels) 2133MHz 4266Mbps;WFBGA-200 (10X15),Samsung,K4U6E3S4AA-MGCR,,UD1 UD2,2,1,PCS
302010739,SMD CAP Ceramic 47uF-6.3V-20%-X5R;0603,Murata,GRM188R60J476ME15D,,C73 C601 C602 C606 C612 C620 C628 C629 C630 C673 C687 C1037 C1038 C1039,14,1,PCS
302010406,SMD CAP Ceramic 18pF-50V-5%-NPO;0201,Murata,GRM0335C1H180JA01D,,C16 C337 C338,3,1,PCS
310091347,SMD IC Memory;32Kb-IIC Serial EEPROM;SOT23-5,FMD,FT24C32A-ELRT,,U20,1,1,PCS
306010138,SMD Crystal 32.768KHz-12.5pF-20ppm-2P-3.2*1.5*0.9mm,EPSON,FC-135 32.7680KA-A3,(指定品牌),Y1 Y8,2,1,PCS
310990024,SMD Precision Load Switch with Adjustable Curren IC;DFN22-6,ETA,ETA6020D2G-T/U,,U5 U8 U9,3,1,PCS
310030161,SMD IC PMIC;DFN(2*2)-8,ETA,ETA3410D2I-T,,U6,1,1,PCS
304060074,SMD Diode ESD 0.05pF;0402,SEMITEL,ESDPSA0402V05,,D6 D7 D8 D10 D11 D19 D20 D21 D36 D37,10,1,PCS
310091085,SMD IC Memory;16GB eMMC 5.1;VFBGA-153,Kingston,EMMC16G-TB29-PZ90,,U3,1,1,PCS
305030659,SMD MOSFET N-CH 20V -630MA ；SOT-523,Diodes,DMG1012T-7,,Q3 Q7 Q8 Q9 Q10 Q12 Q13 Q14 Q16 Q17 Q18 Q19 Q20 Q26 Q27,15,1,PCS
320120003,DIP DC Power Jack W/P-2.0-Black;3P-L14.2*W9.0*H11.0mm-90D,百斯特,DC-005,,J8,1,1,PCS
310032614,SMD IC PMIC;DCDC Buck-ADJ 2.2-V to 5.5-V Input 10-A;24WLCSP (T-HEAD提供）,Dialog,DA9121-A2V72,,U83,1,1,PCS
310032613,SMD IC PMIC;BGA-100(8*8)(T-HEAD烧录固件),Dialog,DA9063-C6HO2,,U81,1,1,PCS
303011790,SMD Inductor;4.7uH-20%-1.5A-2.5*2.0*1.2mm,CODACA,CSTB252012H-4R7M,,L1,1,1,PCS
303011791,SMD Inductor 2.2uH-20%-2A;L2.0*W1.6*H1.0mm,CODACA,CSTB201610H-2R2M,,L3,1,1,PCS
302013264,SMD CAP Ceramic 100uF-10V-20%-X5R;1210,Samsung,CL32A107MPVNNNE,,C69 C631,2,1,PCS
302013252,SMD CAP Ceramic 10uF-10V-10%-X5R;0603,Samsung,CL10A106KP8NNNC,,C8 C19 C36 C43,4,1,PCS
302013266,SMD CAP Ceramic 2.2uF-10V-10%-X5R;0402,Samsung,CL05A225KP5NSNC,,C608 C611 C614 C615 C616 C617 C618 C619 C622 C623 C624 C625 C626 C627,14,1,PCS
302013250,SMD CAP Ceramic 10uF-6.3V-20%-X5R;0402,Samsung,CL05A106MQ5NUNC,,C178 C287 C1034 C1035 C1036 C1067 C1075 C1085,8,1,PCS
302013249,SMD CAP Ceramic 1uF-10V-10%-X5R;0402,Samsung,CL05A105KP5NNNC,,C63 C64 C70 C71 C95 C96 C638,7,1,PCS
305030084,SMD MOSFET P-CH 20V-2.1A;SOT-323,长电,CJ2101,,Q4,1,1,PCS
302011962,SMD CAP Ceramic 1nF-2kV-10%-X7R;1206,YAGEO,CC1206KKX7RDBB102,,C30,1,1,PCS
302010411,SMD CAP Ceramic 22uF-10V-20%-X5R;0603,YAGEO,CC0603MRX5R6BB226,,C10 C123 C169 C267 C600 C603 C604 C605 C607 C609 C610 C632 C633 C1000 C1010 C1119 C1120 C1129 C1130,19,1,PCS
302010019,SMD CAP Ceramic 4.7uF-6.3V-20%-X5R;0402,YAGEO,CC0402MRX5R5BB475,,C1 C2 C3 C5 C11 C13 C47 C54 C60,9,1,PCS
302010002,SMD CAP Ceramic 47nF-25V-10%-X7R;0402,YAGEO,CC0402KRX7R8BB473,,C643,1,1,PCS
